2000
Settembre  	4,77%  	4,92%  	5,11%  	5,22%
Ottobre 	4,92% 	5,11% 	5,17% 	5,22%
Novembre 	4,99% 	5,16% 	5,20% 	5,19%
Dicembre 	5,01% 	5,00% 	4,98% 	4,87%
2001
Gennaio  	4,88%  	4,84%  	4,75%  	4,57%
Febbraio 	4,87% 	4,83% 	4,73% 	4,60%
Marzo   	4,85% 	4,78% 	4,64% 	4,47%
Aprile  	4,83% 	4,71% 	4,59% 	4,49%
Maggio 	        4,75% 	4,71% 	4,64% 	4,52%
Giugno  	4,59% 	4,52% 	4,42% 	4,32%
Luglio  	4,59% 	4,53% 	4,48% 	4,31%
Agosto  	4,54% 	4,43% 	4,30% 	4,11%
Settembre 	4,17% 	4,10% 	3,99% 	3,77%
Ottobre 	3,77% 	3,66% 	3,52% 	3,37%
Novembre 	3,50% 	3,45% 	3,32% 	3,20%
Dicembre 	3,48% 	3,40% 	3,30% 	3,30%
2002
Gennaio  	3,39%  	3,38%  	3,38%  	3,48%
Febbraio 	3,38% 	3,40% 	3,44% 	3,60%
Marzo   	3,39% 	3,43% 	3,53% 	3,82%
Aprile  	3,38% 	3,46% 	3,59% 	3,86%
Maggio  	3,42% 	3,51% 	3,66% 	3,96%
Giugno  	3,43% 	3,52% 	3,65% 	3,87%
Luglio  	3,42% 	3,46% 	3,54% 	3,64%
Agosto  	3,38% 	3,40% 	3,43% 	3,45%
Settembre 	3,36% 	3,36% 	3,33% 	3,23%
Ottobre 	3,35% 	3,31% 	3,21% 	3,13%
Novembre 	3,29% 	3,19% 	3,10% 	3,02%
Dicembre 	3,05% 	3,00% 	2,95% 	2,87%
2003
Gennaio  	2,90%  	2,88%  	2,80%  	2,71%
Febbraio 	2,83% 	2,76% 	2,64% 	2,51%
Marzo   	2,64% 	2,56% 	2,48% 	2,42%
Aprile  	2,61% 	2,57% 	2,50% 	2,45%
Maggio  	2,57% 	2,46% 	2,36% 	2,26%
Giugno  	2,23% 	2,20% 	2,13% 	2,01%
Luglio  	2,16% 	2,16% 	2,12% 	2,06%
Agosto  	2,15% 	2,17% 	2,19% 	2,28%
Settembre 	2,16% 	2,18% 	2,22% 	2,26%
Ottobre 	2,13% 	2,17% 	2,20% 	2,39%
Novembre 	2,11% 	2,19% 	2,25% 	2,41%
Dicembre 	2,16% 	2,18% 	2,24% 	2,37%
2004
Gennaio  	2,11%  	2,12%  	2,15%  	2,22%
Febbraio 	2,09% 	2,10% 	2,12% 	2,16%
Marzo   	2,07% 	2,06% 	2,05% 	2,05%
Aprile  	2,08% 	2,06% 	2,07% 	2,15%
Maggio  	2,09% 	2,11% 	2,16% 	2,30%
Giugno  	2,10% 	2,14% 	2,21% 	2,40%
Luglio  	2,10% 	2,15% 	2,22% 	2,36%
Agosto  	2,11% 	2,14% 	2,20% 	2,30%
Settembre 	2,11% 	2,14% 	2,23% 	2,38%
Ottobre 	2,11% 	2,18% 	2,22% 	2,32%
Novembre 	2,13% 	2,20% 	2,25% 	2,33%
Dicembre 	2,20% 	2,21% 	2,24% 	2,30%
2005
Gennaio  	2,14%  	2,18%  	2,23%  	2,31%
Febbraio 	2,13% 	2,17% 	2,21% 	2,31%
Marzo   	2,13% 	2,17% 	2,22% 	2,34%
Aprile  	2,13% 	2,17% 	2,21% 	2,27%
Maggio  	2,13% 	2,16% 	2,18% 	2,19%
Giugno  	2,13% 	2,14% 	2,14% 	2,10%
Luglio  	2,14% 	2,15% 	2,16% 	2,17%
Agosto  	2,14% 	2,16% 	2,19% 	2,22%
Settembre 	2,14% 	2,17% 	2,19% 	2,21%
Ottobre 	2,15% 	2,22% 	2,29% 	2,41%
Novembre 	2,23% 	2,37% 	2,52% 	2,68%
Dicembre 	2,44% 	2,51% 	2,63% 	2,78%
2006
Gennaio  	2,42%  	2,54%  	2,68%  	2,83%
Febbraio 	2,47% 	2,63% 	2,75% 	2,91%
Marzo   	2,66% 	2,75% 	2,89% 	3,10%
Aprile  	2,68% 	2,83% 	2,99% 	3,22%
Maggio  	2,72% 	2,92% 	3,10% 	3,31%
Giugno  	2,90% 	3,01% 	3,19% 	3,39%
Luglio  	2,97% 	3,14% 	3,33% 	3,54%
Agosto  	3,13% 	3,26% 	3,45% 	3,62%
Settembre 	3,18% 	3,37% 	3,56% 	3,71%
Ottobre 	3,39% 	3,54% 	3,68% 	3,80%
Novembre 	3,45% 	3,64% 	3,77% 	3,87%
Dicembre 	3,68% 	3,73% 	3,83% 	3,93%
2007
Gennaio  	3,67%  	3,80%  	3,94%  	4,06%
Febbraio 	3,69% 	3,86% 	4,00% 	4,10%
Marzo   	3,89% 	3,94% 	4,05% 	4,10%
Aprile  	3,91% 	4,02% 	4,14% 	4,25%
Maggio  	3,96% 	4,12% 	4,24% 	4,37%
Giugno  	4,15% 	4,20% 	4,34% 	4,51%
Luglio  	4,16% 	4,27% 	4,41% 	4,57%
Agosto  	4,34% 	4,57% 	4,62% 	4,67%
Settembre 	4,50% 	4,80% 	4,82% 	4,73%
Ottobre 	4,32% 	4,77% 	4,74% 	4,64%
Novembre 	4,21% 	4,69% 	4,68% 	4,60%
Dicembre 	4,83% 	4,93% 	4,89% 	4,79%
2008
Gennaio  	4,27%  	4,57%  	4,59%  	4,52%
Febbraio 	4,24% 	4,42% 	4,42% 	4,35%
Marzo   	4,35% 	4,62% 	4,62% 	4,59%
Aprile  	4,43% 	4,84% 	4,85% 	4,82%
Maggio  	4,44% 	4,92% 	4,96% 	4,99%
Giugno  	4,54% 	5,00% 	5,14% 	5,37%
Luglio  	4,53% 	5,03% 	5,22% 	5,39%
Agosto  	4,55% 	5,03% 	5,23% 	5,32%
Settembre 	4,68% 	5,06% 	5,28% 	5,38%
Ottobre 	4,85% 	5,11% 	5,18% 	5,26%
Novembre 	3,84% 	4,24% 	4,30% 	4,36%
Dicembre 	2,99% 	3,29% 	3,37% 	3,42%
2009
Gennaio  	2,14%  	2,46%  	2,54%  	2,65%
Febbraio 	1,63% 	1,94% 	2,03% 	2,14%
Marzo   	1,27% 	1,64% 	1,77% 	1,91%
Aprile  	1,01% 	1,42% 	1,61% 	1,77%
Maggio  	0,88% 	1,28% 	1,48% 	1,65%
Giugno  	0,91% 	1,23% 	1,44% 	1,61%
Luglio  	0,61% 	0,98% 	1,21% 	1,41%
Agosto  	0,51% 	0,86% 	1,11% 	1,34%
Settembre 	0,46% 	0,77% 	1,04% 	1,26%
Ottobre 	0,43% 	0,74% 	1,02% 	1,24%
Novembre 	0,43% 	0,72% 	0,99% 	1,23%
Dicembre 	0,48% 	0,71% 	1,00% 	1,24%
2010
Gennaio  	0,44%  	0,68%  	0,98%  	1,23%
Febbraio 	0,43% 	0,66% 	0,97% 	1,23%
Marzo   	0,41% 	0,65% 	0,95% 	1,22%
Aprile  	0,40% 	0,64% 	0,95% 	1,23%
Maggio  	0,42% 	0,69% 	0,98% 	1,25%
Giugno  	0,45% 	0,73% 	1,01% 	1,28%
Luglio  	0,58% 	0,85% 	1,11% 	1,37%
Agosto  	0,64% 	0,90% 	1,15% 	1,42%

